timestamp,pos_cov_x,pos_cov_y,pos_cov_z,ori_cov_r,ori_cov_p,ori_cov_y
1763444649.175,4.25673,4.75591,5.62326,0.0105,0.02212,0.03278
1763444649.275,4.25706,4.75593,5.6233,0.01053,0.02214,0.03281
1763444649.375,4.25729,4.75594,5.62333,0.01053,0.02214,0.03281
1763444649.475,4.25757,4.75596,5.62337,0.01053,0.02214,0.03281
1763444649.575,4.25773,4.75596,5.62339,0.01053,0.02214,0.03281
1763444649.675,4.25768,4.75597,5.62338,0.01051,0.02212,0.03279
1763444649.775,4.2576,4.75597,5.62339,0.01051,0.02212,0.03279
1763444649.875,4.25735,4.75598,5.62339,0.01053,0.02212,0.03282
1763444649.975,4.25719,4.75598,5.62338,0.01053,0.02212,0.03282
1763444650.075,4.25718,4.75599,5.62339,0.01053,0.02212,0.03282
1763444650.175,4.2572,4.756,5.62341,0.01054,0.02213,0.03282
1763444650.275,4.25723,4.756,5.62342,0.01054,0.02213,0.03282
1763444650.375,4.2573,4.756,5.62344,0.01052,0.02211,0.03279
1763444650.475,4.25735,4.756,5.62345,0.01052,0.02211,0.03279
1763444650.575,4.2574,4.756,5.62346,0.01052,0.02211,0.03279
1763444650.675,4.25748,4.75601,5.62348,0.01052,0.02213,0.03282
1763444650.775,4.25756,4.75603,5.6235,0.01052,0.02213,0.03282
1763444650.875,4.25768,4.75605,5.62352,0.01052,0.02213,0.03282
1763444650.975,4.25787,4.7561,5.62358,0.01051,0.02215,0.03282
1763444651.075,4.25805,4.75616,5.62363,0.01051,0.02215,0.03282
1763444651.175,4.25818,4.7562,5.62366,0.01051,0.02215,0.03282
1763444651.275,4.25844,4.75628,5.62374,0.01052,0.02216,0.03283
1763444651.375,4.25871,4.75637,5.62381,0.01052,0.02216,0.03283
1763444651.475,4.25908,4.75647,5.62391,0.01051,0.02218,0.03283
1763444651.575,4.25933,4.75654,5.62397,0.01051,0.02218,0.03283
1763444651.675,4.25961,4.75662,5.62404,0.01051,0.02218,0.03283
1763444651.775,4.25968,4.75667,5.62406,0.01052,0.02217,0.03285
1763444651.875,4.25962,4.75668,5.62405,0.01052,0.02217,0.03285
1763444651.975,4.25946,4.75669,5.62402,0.01054,0.02222,0.03283
1763444652.075,4.25928,4.75666,5.62397,0.01054,0.02222,0.03283
1763444652.175,4.25914,4.75663,5.62393,0.01054,0.02222,0.03283
1763444652.275,4.25912,4.75661,5.62392,0.01052,0.02219,0.03278
1763444652.375,4.25912,4.75659,5.62392,0.01052,0.02219,0.03278
1763444652.475,4.25913,4.75656,5.62393,0.01052,0.02219,0.03278
1763444652.575,4.25917,4.75654,5.62394,0.01054,0.02222,0.0328
1763444652.675,4.25921,4.75653,5.62395,0.01054,0.02222,0.0328
1763444652.775,4.25923,4.75652,5.62394,0.01054,0.02222,0.0328
1763444652.875,4.25927,4.75653,5.62394,0.01052,0.02219,0.03281
1763444652.975,4.2593,4.75653,5.62394,0.01052,0.02219,0.03281
